Age,Gender,Civil Status,City,Zip code,Children,Work,Type of contract,Number of houses owned,Number of cars owned,Number of other types of vehicles owned,Current account,Payroll accounting,Has there ever been a default?,Regular defaults,Casual defaults,"Positive end-of-month account balance. (usual, medium, low)",Saving account,Debit card,Credit card,Applied for a mortgage,Mortgage granted,Early mortgage payback,First time doing a early mortgage payback,First time applying for a mortgage,Applied for a loan,Loan granted,First time applying for a loan,Applied for a deposit,First time applying for a deposit,Applied for an investment fund,First time applying for an investment fund,Applied for a home insurance,First time applying for a home insurance,Applied for an accident insurance,First time applying for a accident insurance,Applied for a life insurance,First time applying for a life insurance,Applied for a health insurance,First time applying for a health insurance,Applied for a car/motorcycle insurance,First time applying for a car/motorcycle insurance
19,F,S,Sa,37002,0,Yes,T,0,0,0,Yes,No,Yes,Yes,Yes,U,Yes,Yes,No,Yes,No,,,Yes,No,,,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,
20,F,S,Sa,37001,1,No,,1,0,0,Yes,Yes,Yes,No,Yes,U,Yes,No,Yes,Yes,No,,,No,No,,,No,,No,,No,,Yes,Yes,No,,No,,Yes,Yes
19,M,M,Sa,37004,0,Yes,T,0,0,0,Yes,Yes,No,No,No,U,No,Yes,No,No,,,,,Yes,No,Yes,Yes,Yes,No,,No,,No,,No,,No,,Yes,Yes
19,M,S,Sa,37002,0,Yes,T,1,0,1,No,Yes,No,No,No,U,Yes,No,No,Yes,No,,,Yes,No,,,No,,No,,No,,Yes,Yes,No,,No,,Yes,Yes
19,F,M,Sa,37003,0,No,,0,0,0,Yes,No,Yes,No,Yes,L,Yes,Yes,No,Yes,No,,,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes
18,M,S,Sa,37003,0,No,,0,1,0,Yes,Yes,Yes,No,No,L,Yes,Yes,No,Yes,No,,,Yes,No,,,No,,Yes,Yes,No,,No,,No,,No,,No,
19,M,S,Sa,37007,0,No,,1,1,0,Yes,Yes,Yes,No,Yes,L,No,Yes,No,Yes,No,,,No,No,,,No,,No,,No,,No,,No,,No,,Yes,Yes
18,F,M,Sa,37001,0,Yes,T,0,0,0,Yes,No,Yes,Yes,Yes,L,Yes,Yes,No,No,,,,,No,,,No,,No,,No,,No,,No,,Yes,Yes,Yes,Yes
20,M,S,Sa,37003,0,No,,1,0,0,Yes,Yes,No,No,No,U,Yes,Yes,No,No,,,,,No,,,Yes,Yes,No,,No,,Yes,Yes,No,,No,,No,
23,F,M,Sa,37001,0,No,,0,0,0,Yes,Yes,Yes,No,No,L,Yes,Yes,Yes,No,,,,,No,,,Yes,No,No,,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,
21,F,S,Sa,37001,0,No,,0,0,0,No,No,No,No,No,U,No,No,No,Yes,Yes,No,,Yes,No,,,No,,No,,No,,No,,No,,Yes,Yes,No,
21,M,S,Sa,37004,0,No,,0,0,0,Yes,Yes,No,No,No,U,Yes,Yes,No,Yes,No,,,Yes,No,,,No,,No,,Yes,Yes,No,,No,,No,,Yes,Yes
23,F,S,Sa,37002,0,No,,1,0,0,Yes,No,No,No,No,U,No,No,No,Yes,No,,,Yes,Yes,No,No,No,,No,,Yes,No,No,,Yes,Yes,No,,Yes,Yes
19,M,S,Sa,37005,0,No,,1,1,0,Yes,No,Yes,No,No,L,Yes,Yes,Yes,No,,,,,No,,,No,,No,,No,,Yes,Yes,No,,No,,Yes,Yes
20,M,S,Sa,37001,0,No,,0,0,0,Yes,Yes,Yes,Yes,Yes,L,No,No,Yes,Yes,No,,,Yes,Yes,No,Yes,No,,No,,No,,Yes,No,No,,No,,Yes,Yes
20,F,S,Sa,37007,0,Yes,P.C.,1,0,1,Yes,Yes,No,No,No,U,Yes,Yes,Yes,Yes,Yes,No,,No,No,,,No,,No,,No,,No,,No,,No,,No,
21,F,S,Sa,37001,0,Yes,T,1,0,1,Yes,Yes,No,No,No,U,Yes,No,No,Yes,No,,,No,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,No,,No,,No,,Yes,Yes
18,M,S,Sa,37007,0,No,,1,0,0,No,Yes,No,No,No,U,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,No,,No,,No,,No,,No,,No,,No,
19,F,S,Sa,37003,1,No,,1,0,0,Yes,Yes,No,No,No,U,Yes,Yes,Yes,Yes,No,,,Yes,No,,,No,,Yes,Yes,Yes,Yes,No,,No,,No,,No,
21,F,S,Sa,37003,0,Yes,P.C.,0,0,1,Yes,Yes,No,No,No,U,Yes,Yes,No,Yes,No,,,Yes,Yes,No,Yes,No,,No,,Yes,Yes,Yes,Yes,No,,No,,Yes,Yes
18,F,S,Sa,37006,0,No,,0,1,0,No,Yes,Yes,No,Yes,L,Yes,Yes,No,No,,,,,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,,No,,No,
18,M,S,Sa,37001,0,Yes,P.C.,0,0,1,Yes,Yes,No,No,No,U,No,Yes,No,Yes,No,,,Yes,No,,,No,,No,,Yes,No,No,,Yes,Yes,No,,Yes,Yes
22,F,S,Sa,37007,0,No,,0,1,0,Yes,Yes,No,No,No,U,Yes,Yes,No,No,,,,,No,,,No,,Yes,Yes,No,,No,,No,,No,,Yes,Yes
18,F,S,Sa,37006,0,Yes,T,0,0,0,Yes,Yes,Yes,No,No,L,Yes,Yes,No,Yes,No,,,No,No,,,No,,No,,No,,Yes,Yes,No,,No,,No,
18,F,S,Sa,37006,0,No,,0,1,0,Yes,Yes,No,No,No,U,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,No,,No,,No,,No,,Yes,Yes
18,M,S,Sa,37002,0,No,,0,1,0,Yes,Yes,Yes,No,Yes,M,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,Yes,Yes,No,,No,,Yes,Yes,No,,No,,Yes,Yes
19,F,S,Sa,37001,1,Yes,G.O,0,0,1,Yes,Yes,No,No,No,U,Yes,Yes,Yes,Yes,No,,,Yes,No,,,No,,No,,Yes,Yes,No,,No,,No,,Yes,Yes
21,M,M,Sa,37005,0,No,,0,0,1,Yes,Yes,Yes,No,Yes,L,Yes,Yes,No,Yes,No,,,Yes,Yes,Yes,Yes,No,,No,,No,,No,,Yes,Yes,No,,Yes,Yes
19,F,S,Sa,37003,0,Yes,T,0,0,0,Yes,Yes,No,No,No,U,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,,No,,No,,No,,No,,No,,Yes,No
